assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
GO_Central	MGI:MGI:1343464	Rorb	MGI:MGI:5546314|PMID:23652001		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20200915		NCBITaxon:10090
NTNU_SB	MGI:MGI:1343464	Rorb	MGI:MGI:3652638|PMID:16574740		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20170221	MGI:MGI:99438	NCBITaxon:10090
UniProt	MGI:MGI:88373	Cebpb	MGI:MGI:4355762|PMID:19641492		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20211116		NCBITaxon:10090
BHF-UCL	MGI:MGI:88373	Cebpb	MGI:MGI:5648604|PMID:25472717		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20160310	CL:0002548|UniProtKB:P34152	NCBITaxon:10090
GO_Central	MGI:MGI:88373	Cebpb	MGI:MGI:3846256|PMID:19324970		GO:0006357	regulation of transcription by RNA polymerase II	IMP			20200928	GO:0045600	NCBITaxon:10090
UniProt	MGI:MGI:88373	Cebpb	MGI:MGI:5619477|PMID:18486321		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20150218		NCBITaxon:10090
ComplexPortal	MGI:MGI:88373	Cebpb	MGI:MGI:2158117|PMID:11792321		GO:0045944	positive regulation of transcription by RNA polymerase II	EXP			20161219		NCBITaxon:10090
BHF-UCL	MGI:MGI:88373	Cebpb	MGI:MGI:5648604|PMID:25472717		GO:0045944	positive regulation of transcription by RNA polymerase II	IMP			20160309	UniProtKB:P34152|CL:0002548	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:27812542	contributes_to	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20180412	CL:0000359|MGI:MGI:97851	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:15870285		GO:0045893	positive regulation of DNA-templated transcription	IDA			20060602		NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:27812542		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:88096		20180412	MGI:MGI:108392	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:10588870		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20181019	CL:0000312|SO:0001668|MGI:MGI:104671	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:27812542		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:88096		20180412	CL:0000359|MGI:MGI:108392|MGI:MGI:97851	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:10859308		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20080122	GO:0006366|MGI:MGI:88052	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:22078933		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:2445289		20120604	GO:0006366|MGI:MGI:88373	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:27812542	contributes_to	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20180412	CL:0000359|MGI:MGI:108392	NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:15175325		GO:0045892	negative regulation of DNA-templated transcription	IDA			20110624		NCBITaxon:10090
MGI	MGI:MGI:88373	Cebpb	PMID:10588870		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20181019	CL:0000312|SO:0001668|MGI:MGI:96685	NCBITaxon:10090
MGI	MGI:MGI:88362	Cdx4	PMID:16325584		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:101893		20080924	MGI:MGI:1276125	NCBITaxon:10090
MGI	MGI:MGI:88362	Cdx4	PMID:16325584		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:101893		20080924	MGI:MGI:95518	NCBITaxon:10090
UniProt	MGI:MGI:88361	Cdx2	MGI:MGI:5301472|PMID:22015720		GO:0003700	DNA-binding transcription factor activity	IDA			20150908		NCBITaxon:10090
UniProt	MGI:MGI:88361	Cdx2	MGI:MGI:6695858|PMID:9933478		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20210301		NCBITaxon:10090
UniProt	MGI:MGI:88361	Cdx2	MGI:MGI:6695963|PMID:9512360		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20210301		NCBITaxon:10090
MGI	MGI:MGI:88361	Cdx2	PMID:16325584		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:101893		20080924	MGI:MGI:1276125	NCBITaxon:10090
MGI	MGI:MGI:88361	Cdx2	PMID:19796622		GO:0006357	regulation of transcription by RNA polymerase II	IDA			20110906		NCBITaxon:10090
MGI	MGI:MGI:88361	Cdx2	PMID:16325584		GO:0003700	DNA-binding transcription factor activity	IDA			20200729		NCBITaxon:10090
MGI	MGI:MGI:88361	Cdx2	PMID:16325584		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:101893		20080924	MGI:MGI:95518	NCBITaxon:10090
MGI	MGI:MGI:88361	Cdx2	PMID:16325584		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20080924	MGI:MGI:95518	NCBITaxon:10090
MGI	MGI:MGI:88361	Cdx2	PMID:16325584		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20080924	MGI:MGI:1276125	NCBITaxon:10090
UniProt	MGI:MGI:88360	Cdx1	MGI:MGI:5301472|PMID:22015720		GO:0003700	DNA-binding transcription factor activity	IDA			20150908		NCBITaxon:10090
MGI	MGI:MGI:88360	Cdx1	PMID:7585967		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20080504	MGI:MGI:96179	NCBITaxon:10090
BHF-UCL	MGI:MGI:106095	Naca	MGI:MGI:4867362|PMID:21071677		GO:0000122	negative regulation of transcription by RNA polymerase II	IMP			20220217	GO:0007507	NCBITaxon:10090
GOC	MGI:MGI:106095	Naca	MGI:MGI:1196726|PMID:9488445		GO:0045893	positive regulation of DNA-templated transcription	IDA			20030812		NCBITaxon:10090
BHF-UCL	MGI:MGI:106095	Naca	MGI:MGI:4867362|PMID:21071677		GO:0045944	positive regulation of transcription by RNA polymerase II	IMP			20220217	GO:0007507	NCBITaxon:10090
MGI	MGI:MGI:106095	Naca	PMID:9488445		GO:0003713	transcription coactivator activity	IDA			20030812		NCBITaxon:10090
NTNU_SB	MGI:MGI:2446472	Mypop	MGI:MGI:3526474|PMID:15615774		GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	IMP			20140321	SO:0001952	NCBITaxon:10090
NTNU_SB	MGI:MGI:2446472	Mypop	MGI:MGI:3526474|PMID:15615774		GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	IDA			20140321	SO:0001952	NCBITaxon:10090
MGI	MGI:MGI:2446472	Mypop	PMID:15615774		GO:0006357	regulation of transcription by RNA polymerase II	IGI	MGI:MGI:97549		20050314		NCBITaxon:10090
MGI	MGI:MGI:2446472	Mypop	PMID:15615774		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20050314		NCBITaxon:10090
MGI	MGI:MGI:2446472	Mypop	PMID:15615774		GO:0003700	DNA-binding transcription factor activity	IDA			20050314		NCBITaxon:10090
MGI	MGI:MGI:88328	Tnfsf8	PMID:16177108		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20111208		NCBITaxon:10090
MGI	MGI:MGI:88328	Tnfsf8	PMID:16177108		GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	MGI:MGI:3054968		20111208		NCBITaxon:10090
MGI	MGI:MGI:88327	Cd28	PMID:16809611		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:1929913		20101118	GO:0006366|MGI:MGI:96548	NCBITaxon:10090
MGI	MGI:MGI:88316	Ccne1	PMID:7797074		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:104772		20160801		NCBITaxon:10090
MGI	MGI:MGI:88315	Ccnd3	PMID:23109711		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20160728		NCBITaxon:10090
MGI	MGI:MGI:88313	Ccnd1	PMID:15314168		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:88039		20180613	GO:0002067|GO:0006366	NCBITaxon:10090
UniProt	MGI:MGI:1353665	Usp21	MGI:MGI:3846030|PMID:18172164		GO:0003713	transcription coactivator activity	IDA			20090306		NCBITaxon:10090
UniProt	MGI:MGI:1353665	Usp21	MGI:MGI:3846030|PMID:18172164		GO:0045893	positive regulation of DNA-templated transcription	IDA			20090306		NCBITaxon:10090
NTNU_SB	MGI:MGI:106034	Six4	MGI:MGI:3608315|PMID:15955062		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20141117	SO:0001952	NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:3608315|PMID:15955062		GO:0045892	negative regulation of DNA-templated transcription	IDA			20140918		NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:4836102|PMID:20696153		GO:0045892	negative regulation of DNA-templated transcription	IDA			20140922		NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:4421263|PMID:19962975		GO:0045893	positive regulation of DNA-templated transcription	IDA			20140926		NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:3608315|PMID:15955062		GO:0045893	positive regulation of DNA-templated transcription	IDA			20140918		NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:5532793|PMID:23987514		GO:0045893	positive regulation of DNA-templated transcription	IMP			20140923		NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:3715562|PMID:17592144		GO:0045893	positive regulation of DNA-templated transcription	IMP			20140925		NCBITaxon:10090
UniProt	MGI:MGI:106034	Six4	MGI:MGI:5009396|PMID:17300925		GO:0045893	positive regulation of DNA-templated transcription	IMP			20110414		NCBITaxon:10090
MGI	MGI:MGI:106034	Six4	PMID:14966291		GO:0045893	positive regulation of DNA-templated transcription	IDA			20050715		NCBITaxon:10090
MGI	MGI:MGI:106034	Six4	PMID:15955062		GO:0003700	DNA-binding transcription factor activity	IDA			20081215		NCBITaxon:10090
MGI	MGI:MGI:106034	Six4	PMID:14966291		GO:0003700	DNA-binding transcription factor activity	IDA			20050715		NCBITaxon:10090
MGI	MGI:MGI:106034	Six4	PMID:15955062		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20081215	MGI:MGI:101924	NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:8349681		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20110216		NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:19749747		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20110217		NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:15475956		GO:0006357	regulation of transcription by RNA polymerase II	IDA			20041214		NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:11694877		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20110929	GO:0006366	NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:15475956		GO:0003700	DNA-binding transcription factor activity	IDA			20041214		NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:9765260		GO:0006355	regulation of DNA-templated transcription	IMP			20110216		NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:9765260		GO:0003700	DNA-binding transcription factor activity	IMP			20050726		NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:8349681		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20110216	MGI:MGI:95526	NCBITaxon:10090
MGI	MGI:MGI:106032	Tfap2c	PMID:10068641		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20110216		NCBITaxon:10090
UniProt	MGI:MGI:1353609	Zbtb18	MGI:MGI:4418579|PMID:20059953		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20100126		NCBITaxon:10090
UniProt	MGI:MGI:1353609	Zbtb18	MGI:MGI:4418579|PMID:20059953		GO:0045892	negative regulation of DNA-templated transcription	IDA			20100126		NCBITaxon:10090
MGI	MGI:MGI:1353609	Zbtb18	PMID:18262495		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20090528		NCBITaxon:10090
MGI	MGI:MGI:1353604	Hnf4g	PMID:10786614		GO:0045893	positive regulation of DNA-templated transcription	IDA			20110614		NCBITaxon:10090
MGI	MGI:MGI:2142581	Nsd3	PMID:16682010		GO:0045892	negative regulation of DNA-templated transcription	IDA			20140828		NCBITaxon:10090
UniProt	MGI:MGI:98512	Ubtf	MGI:MGI:4441017|PMID:20168301		GO:0045943	positive regulation of transcription by RNA polymerase I	IDA			20100224		NCBITaxon:10090
NTNU_SB	MGI:MGI:98511	Tfe3	MGI:MGI:3662947|PMID:16936731		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20141117	SO:0001952	NCBITaxon:10090
UniProt	MGI:MGI:98511	Tfe3	MGI:MGI:6393150|PMID:27913603		GO:0003700	DNA-binding transcription factor activity	IDA			20200204		NCBITaxon:10090
UniProt	MGI:MGI:98511	Tfe3	MGI:MGI:3662947|PMID:16936731		GO:0003700	DNA-binding transcription factor activity	IDA			20090709		NCBITaxon:10090
UniProt	MGI:MGI:98511	Tfe3	MGI:MGI:6304577|PMID:29146937		GO:0045893	positive regulation of DNA-templated transcription	IMP			20190410		NCBITaxon:10090
UniProt	MGI:MGI:98511	Tfe3	MGI:MGI:6393150|PMID:27913603		GO:0045893	positive regulation of DNA-templated transcription	IDA			20200204		NCBITaxon:10090
UniProt	MGI:MGI:98511	Tfe3	MGI:MGI:3662947|PMID:16936731		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20090709		NCBITaxon:10090
MGI	MGI:MGI:98511	Tfe3	PMID:15994295		GO:0045893	positive regulation of DNA-templated transcription	IDA			20051229		NCBITaxon:10090
UniProt	MGI:MGI:98510	Tcf3	MGI:MGI:6508495|PMID:15226298		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20201204		NCBITaxon:10090
BHF-UCL	MGI:MGI:98510	Tcf3	MGI:MGI:4362015|PMID:11812799		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20210824		NCBITaxon:10090
NTNU_SB	MGI:MGI:98510	Tcf3	MGI:MGI:3818123|PMID:18361414	contributes_to	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20170527	SO:0001952	NCBITaxon:10090
NTNU_SB	MGI:MGI:98510	Tcf3	MGI:MGI:5572892|PMID:12446773		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20140319	SO:0001952	NCBITaxon:10090
NTNU_SB	MGI:MGI:98510	Tcf3	MGI:MGI:5572892|PMID:12446773		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IMP			20140319	SO:0001952	NCBITaxon:10090
BHF-UCL	MGI:MGI:98510	Tcf3	MGI:MGI:4362015|PMID:11812799		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20090827		NCBITaxon:10090
NTNU_SB	MGI:MGI:98510	Tcf3	MGI:MGI:5572892|PMID:12446773		GO:0045944	positive regulation of transcription by RNA polymerase II	IMP			20140319	MGI:MGI:101774	NCBITaxon:10090
NTNU_SB	MGI:MGI:98510	Tcf3	MGI:MGI:3818123|PMID:18361414		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20170527	MGI:MGI:102934	NCBITaxon:10090
UniProt	MGI:MGI:98510	Tcf3	MGI:MGI:6508495|PMID:15226298		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20201204		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:16673016		GO:0003700	DNA-binding transcription factor activity	IDA			20161129	GO:0030218|GO:0005020|GO:0006366	NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:19799863		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:1338013		20110927		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:8900141		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:99533		20110902		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:16428437		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20090309	GO:0006366	NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:18184866		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:894762		20110921		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:16007160		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:98510		20110919		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:9676199		GO:0006355	regulation of DNA-templated transcription	IGI	MGI:MGI:96920		20100427		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:10373552		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:98480		20110912		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:15520228		GO:0006355	regulation of DNA-templated transcription	IDA			20050520		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:15314159		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:98480		20110914		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:12200424		GO:0006355	regulation of DNA-templated transcription	IDA			20021231		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:16007160		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:97904		20110919		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:15121856		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20141020		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:17430895		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:102934		20110124		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:18184866		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:98480		20110921		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:10373552		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:102812		20110912		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:19799863		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:98480		20110927		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:19799863		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:1333833		20110927		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:20144608		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:103580		20110902		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:12070084		GO:0045893	positive regulation of DNA-templated transcription	IGI	MGI:MGI:98510		20110902		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:18184866		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:95662		20110921		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:9676199		GO:0006355	regulation of DNA-templated transcription	IGI	MGI:MGI:98330		20100427		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:8760303		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20110907		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:16648472		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:109619		20101201		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:16648472		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:1926387		20101201		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:8900141		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:96919		20110902		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:18184866		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:102811		20110921		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:15351717		GO:0006355	regulation of DNA-templated transcription	IDA			20050215		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:8900141		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:99532		20110902		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:19796622		GO:0006357	regulation of transcription by RNA polymerase II	IDA			20110906		NCBITaxon:10090
MGI	MGI:MGI:98510	Tcf3	PMID:8900141		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:99458		20110902		NCBITaxon:10090
NTNU_SB	MGI:MGI:98509	Tfcp2	MGI:MGI:5905551|PMID:15232220		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20170525	MGI:MGI:88180|SO:0001952	NCBITaxon:10090
NTNU_SB	MGI:MGI:98509	Tfcp2	MGI:MGI:5905551|PMID:15232220		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20170525	MGI:MGI:88180	NCBITaxon:10090
BHF-UCL	MGI:MGI:98507	Tcf7	MGI:MGI:5428344|PMID:22723415		GO:0000122	negative regulation of transcription by RNA polymerase II	IMP			20201028	UniProtKB:O70372|CL:0002322	NCBITaxon:10090
UniProt	MGI:MGI:98507	Tcf7	MGI:MGI:3695974|PMID:17218525		GO:0001217	DNA-binding transcription repressor activity	IMP			20191209		NCBITaxon:10090
BHF-UCL	MGI:MGI:98507	Tcf7	MGI:MGI:5428344|PMID:22723415		GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	IMP			20211120	UniProtKB:O70372|CL:0002322|GO:0005634	NCBITaxon:10090
UniProt	MGI:MGI:98507	Tcf7	MGI:MGI:5486619|PMID:23562159		GO:0006355	regulation of DNA-templated transcription	IMP			20200120		NCBITaxon:10090
MGI	MGI:MGI:98507	Tcf7	PMID:12235125		GO:0003700	DNA-binding transcription factor activity	IDA			20031126		NCBITaxon:10090
MGI	MGI:MGI:98507	Tcf7	PMID:12235125		GO:0006357	regulation of transcription by RNA polymerase II	IDA			20190708		NCBITaxon:10090
BHF-UCL	MGI:MGI:98506	Tcf4	MGI:MGI:85411|PMID:8978694		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20180410		NCBITaxon:10090
BHF-UCL	MGI:MGI:98506	Tcf4	MGI:MGI:85411|PMID:8978694		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20101210	SO:0001952	NCBITaxon:10090
BHF-UCL	MGI:MGI:98506	Tcf4	MGI:MGI:85411|PMID:8978694		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20101210		NCBITaxon:10090
MGI	MGI:MGI:98506	Tcf4	PMID:8999959		GO:0003714	transcription corepressor activity	IDA			20020702		NCBITaxon:10090
MGI	MGI:MGI:98506	Tcf4	PMID:15351717		GO:0006355	regulation of DNA-templated transcription	IDA			20050215		NCBITaxon:10090
MGI	MGI:MGI:98506	Tcf4	PMID:16950124		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20061221	MGI:MGI:97347	NCBITaxon:10090
UniProt	MGI:MGI:98505	Hnf1b	MGI:MGI:2388420|PMID:12367519		GO:0003700	DNA-binding transcription factor activity	IDA			20101202		NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:98865	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:1347476	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:96086	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:1328312	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:15647252		GO:0045893	positive regulation of DNA-templated transcription	IDA			20070406		NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0000122	negative regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:98297	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:15067314		GO:0003700	DNA-binding transcription factor activity	IDA			20050310		NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:1347472	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:87991	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:1673925		GO:0003700	DNA-binding transcription factor activity	IDA			20070406		NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:15509593		GO:0045893	positive regulation of DNA-templated transcription	IDA			20070406		NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:15647252		GO:0003700	DNA-binding transcription factor activity	IDA			20070406		NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:18635606		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20100208	MGI:MGI:1347477	NCBITaxon:10090
MGI	MGI:MGI:98505	Hnf1b	PMID:20040500		GO:0045893	positive regulation of DNA-templated transcription	IDA			20110614		NCBITaxon:10090
